word, trans
ሓጐስ, ħagʷäs
ቅድም, qdm
ሰሚዑ, sämiʕu
ክልቲኦም, klti'om
መስተ, mästä
በሎ, bälo
ንእስራኤል, n'sra'el
ንኻልኦት, nKal'ot
ዮሐንስ, yoħäns
ኢያ, 'iya
ጻድቕ, ṣadQ
ገላዉ, gälawu
ካባይ, kabay
ታይሞ, taymo
ሽሕን, šħn
ይሁዳ, yhuda
ትርጉም, trgum
ኻብኡ, Kab'u
ጊዜ, gize
በረኻ, bäräKa
ብዝሒ, bzħi
ስዉር, swur
ገጹ, gäṣu
ጽርግያ, ṣrgya
መገዱ, mägädu
ቤተይ, betäy
መበል, mäbäl
ዕረፍቲ, ʕräfti
ዓበይትን, ʕabäytn
ኣባጊዕን, 'abagiʕn
እያሱ, 'yasu
ተቐመጡ, täQämäTu
ናብታ, nabta
መስመስታ, mäsmästa
ምዕራብ, mʕrab
ኣጽኒዕና, 'aṣniʕna
ገብሩ, gäbru
ህዝቡ, hzbu
ዝገበርዎ, zgäbärwo
ኣሕሊፉ, 'aħlifu
ግዲ, gdi
ኢኹም, 'iKum
ዝበሎ, zbälo
ሃብቲ, habti
ኣፍራስ, 'afras
ጐይታኡ, gʷäyta'u
ኣለዎ, 'aläwo
ጨንፈር, Čänfär
ኾን, Kon
ሕውነትና, ħwnätna
ሪአ, ri'ä
ጀሚሩ, ǧämiru
ኽብረት, Kbrät
ሰላሳ, sälasa
ይመጽእ, ymäṣ'
ዘይጠዓምናዮ, zäyTäʕamnayo
ገምገም, gämgäm
ቓላ, Qala
በሉለይ, bäluläy
ደጌታት, dägetat
ሳብዐይቲ, sabʕäyti
ኣሎኹም, 'aloKum
ስለዚ, släzi
ዀነት, kʷänät
ብዘሎ, bzälo
በዓል, bäʕal
ኣቦ, 'abo
እዚኣ’ያ, 'zi'a’ya
ዘለዎ, zäläwo
ወንጌል, wängel
መሊሱ, mälisu
ስምዑ, smʕu
መካበብያ, mäkabäbya
እንሃ, 'nha
ዘይጠሓሊት, zäyTäħalit
ናብቲ, nabti
ከይከይድ, käykäyd
ብመንፈስ, bmänfäs
ቅድሜኻ, qdmeKa
ኻባይ, Kabay
ወዘራዝሮ, wäzärazro
ንዂሎም, nkʷilom
ኣቦኻ, 'aboKa
ኢና”, 'ina”
ጽድቂ, ṣdqi
ለኪምካኒ, läkimkani
ተስፋይ, täsfay
ናትካስ, natkas
ውሽጥኻ, wšTKa
ጋሻ, gaša
ዘርኢ, zär'i
ብዅሉ, bkʷlu
ኣህዛብ, 'ahzab
ቬሎ, velo
ጌርካ, gerka
ንርእሱ, nr'su
የሱስ, yäsus
ምድርን, mdrn
ዘበን, zäbän
ናብዚ, nabzi
ዀይኖም, kʷäynom
ኺዳን, Kidan
ብእምነት, b'mnät
ሴፍ, sef
ይንበር, ynbär
ኣብኣ, 'ab'a
ዅሉ, kʷlu
ተሳቕየ, täsaQyä
ዝበካ, zbäka
ግናኸ, gnaKä
መጓሰ, mägʷasä
ኣድጊ, 'adgi
ላዕሊ, laʕli
ፈረቓ, färäQa
ንሱን, nsun
ታሓላል, taħalal
የሮብዓም, yärobʕam
እኔኹ, 'neKu
ሌዋውያንን, lewawyann
ኣስቴር, 'aster
ምሳይ, msay
ተጣዪሰ, täTayisä
ትዝመኽረካ, tzmäKräka
ካብዚ, kabzi
ከተሳሊ, kätäsali
ዂሎም, kʷilom
ሳዕሳዕካ, saʕsaʕka
ፍትውቲ, ftwti
ጉሬ, gure
ራብዓይ, rabʕay
ንፍትሒ, nftħi
ደብዳበ, däbdabä
ኩን, kun
ኣዒንቲ, 'aʕinti
ኢለ, 'ilä
እቶ, 'to
ንዓ, nʕa
ሳልሰይቲ, salsäyti
ኣእዋም, 'a'wam
ዒላመይ, ʕilamäy
ኣሎና, 'alona
ነበረ, näbärä
ደረተይ, därätäy
ደሙ, dämu
ኹሉ, Kulu
ንፋስ, nfas
ጸሎት, ṣälot
ኣምላኽኩም, 'amlaKkum
ዝለኣኸኒ, zlä'aKäni
ኩዒተ, kuʕitä
ጸላኢ, ṣäla'i
ሒዞም, ħizom
ዘይጭምረረ, zäyČmrärä
ዔላ, ʕela
